"","position","company","description"
"1853","Research Scientist I, Biophysics","gilead sciences","For Current Gilead Employees and Contractors:
Please log onto your Internal Career Site to apply for this job.

Job Description
Specific Responsibilities:
Gilead is seeking a motivated researcher to work in the Biophysics group within the Research organization. The successful candidate will establish experimental systems on biosensor systems (e.g. Biacore, ProteOn), generate, analyze, and interpret data, and communicate results to project teams. He/she will support projects from discovery research. The candidate must be driven, resourceful, able to work independently and display scientific rigor. Excellent organizational skills in management of data, and internal and external collaborations, are essential. The candidate will participate in regular team meetings and present results when required.

Essential Duties and Job Functions:

The position will require establishing experimental systems on the biosensor from the ground up so that kinetic and thermodynamic parameters for interactions can be reliably characterized. The successful candidate will be able to critically analyse data and design experiments to establish parameters such as immobilization/capture methods, competence of various protein constructs, and optimal biosensor platform. Skill in troubleshooting experimental setups and attention to experimental detail is essential. The candidate is expected to document experiments in a thorough and timely manner. Information obtained from these experiments systems will be communicated to various project teams to help understand mechanism of action as well as aid in general drug discovery efforts. General lab duties include instrument maintenance, ordering lab consumables, and ensuring compliance with EH&amp;S regulations.

Knowledge, Experience and Skills:

The candidate should possess a Ph.D. in Chemistry, Biochemistry, or Biology with 0+ years industry experience, or a B.Sc. or M.Sc. degree with extensive industry experience and track record of positive impact on project goals. The candidate should have a good working knowledge of basic kinetic and thermodynamic concepts. Experience using the ProteOn and Biacore biosensor platforms will be advantageous, although candidates with a strong biophysical understanding of other techniques such as KinExA are also encouraged to apply.

#LI-KW1"
"1854","Scientist, Cancer Immunology Biology","pfizer","A career at Pfizer offers opportunity, ownership and impact.

All over the world, Pfizer colleagues work together to positively impact health for everyone, everywhere. Our colleagues have the opportunity to grow and develop a career that offers both individual and company success; be part of an ownership culture that values diversity and where all colleagues are energized and engaged; and the ability to impact the health and lives of millions of people. Pfizer, a global leader in the biopharmaceutical industry, is continuously seeking top talent who are inspired by our purpose to innovate to bring therapies to patients that significantly improve their lives.

Pfizer Cancer Immunology Discovery (CID) is a South San Francisco biotechnology unit within the Oncology division of Pfizer Worldwide Research &amp; Development, dedicated to doing its part to fulfill Pfizer's mission of working together for a healthier world. CID is dedicated to developing new protein therapeutics to improve human life by redirecting the immune system against cancer. CID researchers use the latest scientific knowledge and apply novel approaches to discover truly innovative Immuno-Oncology therapeutics. Cooperation and support for a high level of scientific freedom is encouraged in this small biotech-like environment to find the best answers to biological questions, with the benefit of large pharma resources.

The Protein Engineering Department in South San Francisco is seeking an outstanding Scientist to aid in antibody discovery, engineering and technology development projects. They will be responsible for working closely with individuals in both protein engineering and biologyto develop the next generation of antibody based cancer therapeutics. They will have access to state of the art antibody generation technologies and will be expected to continue our tradition of developing world class methods and technologies that enhance our therapeutic antibody discovery efforts.

Role Description
We are seeking an energetic, motivated, and detail-oriented Scientist with experience in molecular biology, to support our antibody library generation and screening efforts and to contribute to exciting immune-oncology therapeutic approaches. The successful applicant will be an integral part of a research team generating and evaluating antibodies for the treatment of cancer. They should express a keen interest in developing novel therapies.

Responsibilities
The primary responsibility will be working on antibody library generation and screening.
Required strong attention to detail, strong organizational skills and accurate record keeping competencies
Analyze, organize, and present results in small and large group meetings.
Read relevant scientific literature to aid in experimental design.
Contribute to a dynamic, exciting culture that embraces teamwork and innovation.

Qualifications
A BS or MS in molecular biology, biochemistry, chemical engineering or an equivalent field with a minimum of 5 years of laboratory research experience in molecular biology, or library design is required.
Strong technical proficiency with molecular biology methods (PCR, nucleic acid purification, cloning)
Experience with standard protein characterization techniques such as SDS-PAGE, ELISA, Western Blot is required
Experience with the following is preferred:

phage or yeast panning
mammalian or bacterial protein expression and purification
standard tissue culture techniques
Excellent communication, interpersonal and collaborative skills

PHYSICAL/MENTAL REQUIREMENTS:
Ability to perform complex data analysis
Ability to analyze and interpret work published in the field and use it to place our work in context.

NON-STANDARD WORK SCHEDULE, TRAVEL OR ENVIRONMENT REQUIREMENTS:
Role requires travel

EEO &amp; Employment Eligibility
Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.

Sunshine Act

Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider＊s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.

Eligible for Employee Referral Bonus

Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates."
"1855","Senior Data Scientist","allstate","Where good people build rewarding careers.
Think that working in the insurance field can＊t be exciting, rewarding and challenging? Think again. You＊ll help us reinvent protection and retirement to improve customers＊ lives. We＊ll help you make an impact with our training and mentoring offerings. Here, you＊ll have the opportunity to expand and apply your skills in ways you never thought possible. And you＊ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.

Job Description

Data Discovery and Decision Science (D3) is the research and analytics organization at Allstate. We are solving some of today＊s most complicated analytics problems, making the lives of our Allstate colleagues easier and more productive, and driving our mission to deliver perfect insurance solutions to our customers. We are avid about learning and applying new tools and techniques to get the most value from our massive data resources. As a Senior Data Scientist in D3, you will get 10% of your time to innovate, work on your own initiatives, learn, collaborate, and teach. In partnership with technology and the business, we are incorporating analytics into every aspect of the enterprise. We are deeply committed to developing ourselves and others as a path to success.

In this role, you will help our Agency partners choose the best ways to integrate data and analytics into their operations by developing a framework to evaluate which opportunities for automation, self-service, and centralized service will have the biggest economic impact. Your work will drive decisions about future operating models and compensation structures and help ensure that our customers get the highest possible quality of service. This work will include the development and management of new machine learning and predictive modeling algorithms, along with utilizing natural language processing techniques. You'll be involved with the coding and development of tools that guide business decisions; searching for and integrating new data that improves our modeling and machine learning results (and ultimately our decisions) and discovery of solutions to business problems that can be solved through the use of these techniques. You will also begin to manage projects of medium complexity.

Key Responsibilities
Uses best practices to develop statistical, machine learning techniques to build models that address business needs.
Manages data and data requests to improve the accuracy of our data and decisions made from data analysis.
Uses and learns a wide variety of tools and languages to achieve results (e.g., R, SAS, Python, Hadoop).
Identifies languages and tools that can bring efficiencies or needed techniques to the team.
Works on data and business problems to drive improved business results through designing, building, and partnering to implement models.
Collaborates the with team in order to improve the effectiveness of business decisions through the use of data and machine learning/predictive modeling.
Understands the business＊ problems to identify the optimal modeling approach.
Communicates to team members, leadership and stakeholders on findings to ensure models are well understood and incorporated into business processes.
Utilizes effective project planning techniques to break down moderately complex projects into tasks and ensure deadlines are kept
Works with leaders to ensure the project will meet their needs.
The development and execution of a communication strategy, with appropriate coaching, that keeps all relevant stakeholders informed and provides an opportunity to influence the direction of the work.
Reviews and evaluates on appropriateness of techniques, given current modeling practices, to senior leadership.



Job Qualifications

Degree in a quantitative field such as statistics, mathematics, computer science, finance
Master＊s or PhD preferred in a quantitative field such as statistics, mathematics, computer science, finance, or economics
Experience in using statistical modeling and/or machine learning techniques to build models that have driven company decision making
Experience in managing and manipulating large, complex datasets
Experience in working with statistical software such as SAS, SPSS, MatLab, R, CART, etc.
Understanding of the Insurance market place; economics and regulation preferred
Ability to code and develop prototypes in languages such as Python, Perl, Java, C
Knowledge of advanced modeling technique
Ability to analyze and interpret moderate to complex concepts
Ability to provide written and oral interpretation of highly specialized terms and data, and ability to present this data to others with different levels of expertise
Demonstrated analytic agility




The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.
Good Work. Good Life. Good Hands<U+00AE>.
As a Fortune 100 company and industry leader, we provide a competitive salary 每 but that＊s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you＊ll have access to a wide variety of programs to help you balance your work and personal life - including a generous paid time off policy.
Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.


Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.

For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era.

ABC"
"1856","Global Segment Leader - Machine Learning","amazon.com","Job Description
Do you love cutting-edge cloud technology? Do you live for partner ecosystems? AWS Practice Leaders are responsible for recruiting, developing, and promoting APN partners in specific technology areas to AWS customers and sellers. To accelerate our rapidly-evolving Machine Learning business, we are looking for a motivated, technically savvy person to build upon our global ecosystem of partners who build solutions relative to services such as Amazon Lex, Amazon Recognition, AWS DeepLens, and Amazon SageMaker.

In this role, you will work across the AWS organization to identify and develop high-quality partners in the AI/ML space. You will work closely with the product teams who develop the services, business development organization, AWS sales, marketing, and of course the AWS Partner Network (APN) team to grow a world-class ecosystem of consulting partners. You will be expected to:
Develop and drive a strategy to build and grow an AWS-based AI/ML ecosystem of partners
Develop and drive business and technical enablement plan to partners
Promote top AI/ML partners to AWS customers and sellers
Work with regional leads to develop partners globally
Develop and drive promotions, funding benefits, and incentives as appropriate
Own and evolve the requirements for AI/ML partners
Gather, organize, and report back partner feedback (both technical and business) to help improve the customer and partner experience
Be a liaison between AI/ML partners and the product teams; meet regularly with product team staff
Work with the APN team to build an editorial calendar to encourage partner blogging and social media activity
Work with AWS marketing to include partners in relevant campaigns and promotional opportunities
Own communication strategy: Contribute updates to APN communication such as the APN blog, and keep key stakeholders informed of changes, events, and opportunities
Develop and deliver presentations at events like re:Invent, SKO, and AWS summits.
Basic Qualifications
10+ years in partner/alliances development for a global technology company
Demonstrated ability building scalable enablement and GTM programs for consulting partners
Basic understanding of cloud infrastructure and AWS
Basic understanding of AWS AI/ML services
Experience working effectively across internal and external organizations
Willing to travel domestically and internationally to meet with customers, partners, and to AWS events
Live in, near, or willing to relocate to Seattle, WA
Preferred Qualifications
15+ years in partner/alliances development for a global technology company
Direct experience working with AWS consulting partners or you have been an employee at a large AWS partner
Developed and operated five or more global partner programs
Advanced understanding of AWS, cloud architecture and infrastructure
Advanced understanding of AWS AI/ML services
Strong presentation skills and the ability to articulate complex concepts to cross-functional audiences
Strong organizational skills and attention to detail with the ability to set clear priorities in a fast paced, dynamic work environment
Inquisitive, not afraid to ask questions to see the ※big picture§ or get a handle on the details
Entrepreneurial, self-starter
Excellent written and verbal English skills
Willingness to develop and deliver presentations to AWS audiences, such as at AWS re:Invent

Amazon is an Equal Opportunity - Affirmative Action Employer - Minority/Female/Disability/Vet

aws-partners-na
*LI-JM5"
"1857","Recruiter","microsoft","Microsoft Global Talent Acquisition is looking for a technical recruiter to join our global recruiting team in the San Francisco office. Microsoft＊s San Francisco office is home to several strategic acquisitions including Outlook Mobile (formerly Acompli), Skype, and Mobile Data Labs (formerly MileIQ). Microsoft in the Bay Area is a hub of innovation with diverse engineering talent, cross-platform technology partners, and customer engagement. You could disrupt and impact this space by adding your expertise in attracting a variety of technical individuals to our organization.

We are searching for a technical recruiter that will drive and deliver best practices in talent attraction, forge relationships with stakeholders across the business (Hiring Managers, HR business partners and C-level executives) and use your knowledge of the Bay Area talent market to innovate our go-to-market strategy while delivering an unparalleled candidate experience.

https://blogs.microsoft.com/bayarea/
https://careers.microsoft.com/us/en/l-bayarea
Responsibilities
Create and execute strategies for identifying and engaging active and passive candidates
Partner closely with hiring managers and their teams to deeply understand current/future hiring needs and drive a fast and efficient full-lifecycle interview process from sourcing through on-site interviewing, negotiating offers, and closing candidates
Build robust and diverse pipelines of candidates through various channels (e.g. meetups and events, employee referrals, and select sourcing tools)
Use market expertise, data, business acumen, and intuition to understand trends, educate and influence the business, and continuously improve our recruiting process
Qualifications
3+ years full-cycle technical recruiting experience in a highly competitive environment, preferably in the San Francisco Bay Area and with consumer facing products
Track record in sourcing qualified candidates using a variety of resources (including LinkedIn), lead development, negotiating offers, and influencing management decision-making
Proven ability to recruit and hire a variety of technical roles (e.g. software developer, product manager, data scientist, etc.)
Demonstrable experience in working with technical leadership at varying levels end to end through the recruiting process
Strong communication, organizational, collaboration, and negotiation skills.
Prior experience in the staffing function of a start-up is a plus

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
"1858","SENIOR DATA SCIENTIST","microsoft","Are you passionate about working with Big Data to solve business problems that directly impact our customers &amp; our revenues and costs? Are you excited about gaining new insights &amp; intelligence, and answering critical questions based on data? Welcome to the Outlook Data Science team.
Responsibilities
We are looking for exceptional Data Scientist to:
Dive deep into data to find key insights that impact the business
Actively mine petabytes of data on cloud computing infrastructure
Develop models of usage, user behavior &amp; business behavior.
Build key predictive, regression, causal, time-series &amp; optimization models.
In this role:
You will have the opportunity to make significant impact on user acquisition &amp; retention.
Work with other teams to develop key metrics to achieve business outcomes Surface actionable recommendations.
Focus will be on final customer &amp; business impact
Qualifications
Qualifications: A Successful candidate should:

Show strong passion for &amp; understand the need to deliver right business impact by working with stakeholders to turn business problems into data analysis questions, and then unearthing deep insights from data. Demonstrated history of innovative thinking and problem solving skills in Big Data problems.
Be self-driven, and show ability to deliver on ambiguous projects with incomplete data.
Have strong hands-on experience in econometrics, decision sciences, machine learning &amp; data mining is a plus.
Have a deep familiarity with statistical models &amp; methods (time-series analysis, regression analysis, experimental design, hypothesis testing, etc.) is a plus. Experience on large scale computing systems like COSMOS, Hadoop, MapReduce and/or similar systems is a big plus.
Have strong skills in R, Python, and related tools for large scale analysis Excellent communications &amp; interpersonal skills.
Have the ability to convince other strong personalities of their ideas and communicate complicated analysis &amp; insights to non-technical audience.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request to askstaff@microsoft.com."
"1859","Machine Learning Engineer, Data Platform Team (Siri Search and Knowledge)","apple","Siri＊s universal search engine powers search features across a variety of Apple products, including Siri, Spotlight, Safari, Messages and Lookup. The Data Platform Team enables continuous improvement of the search system by building tools for data-driven decision making and rapid iteration. As part of this group, you will work with one of the most exciting high performance computing environments, with petabytes of data and millions of queries per second. You will have an opportunity to find signals in massive datasets to help drive development of the products that delight our customers every single day.
Key Qualifications
2+ years of experience in a Machine Learning or Data Science role
Experience applying machine learning algorithms to understand real-world data (classification, anomaly detection, etc.)
Ability to manipulate large data sets with high dimensionality and complexity; fluency in SQL/HQL
Experience with machine learning tools and libraries, such as Scikit-learn, TensorFlow, Spark, or Dask-ML
Excellent analytical and problem solving skills
Attention to detail and commitment to high-quality output
Outstanding interpersonal skills required
Proficiency in one of the following languages: Python, Go, Java, C++
Experience with large scale search and machine learning systems is a plus
Experience with Hadoop, Hive, Impala, and/or Tableau is a plus
Description
Perform offline analysis of user behavior logs
Apply statistical techniques to detect anomalies in time series data
Build scalable machine learned models for classifying user behavior and inferring user satisfaction
Run crowdsourced grading projects to determine relevant features and develop training sets for modeling behavioral patterns (user satisfaction analysis, fraud detection, etc.)
Design and run A/B experiments to measure the impact of different models
Partner with infrastructure engineers to deploy and refresh models
Education
BS in Computer Science, Mathematics, Statistics, related field, or equivalent industry experience
Advanced degree in Machine Learning, Data Science, or a related field preferred"
"1860","Senior Data Scientist, Analytics","microsoft","Join a tight-knit team at Microsoft, and change the way people work by making Yammer a better product. At Yammer, we＊re building software that＊s revolutionizing the typical workday. Yammer makes it easy for people to tap into their network and work together. Yammer relies on data to influence decisions across the organization, and our analytics team plays a central role in making that happen.

We're looking for someone that want their work to have an impact. If you enjoy thinking critically, questioning assumptions, and collaborating with intelligent folks, we think you'd also enjoy this role. Here are a few reasons why we love this job:
Autonomy - we're independent thinkers, and we each have the freedom to make our own decisions. In addition, we each own our projects
Teamwork - we value autonomy, but that doesn't mean we work alone. Each analyst has unique strengths and viewpoints, we often teach each other new skills and explore alternative perspectives
High Expectations - our coworkers rarely ignore our analyses. Rather, they poke holes in them, challenging us to produce stronger, more convincing analyses
Diverse team - our team members have done work in the areas of economics, physics, business, and sociology
Responsibilities
Day-to-day work varies, but here are common tasks you can expect:
Collaborate with product managers and engineers to define and measure success of new features
Influence priorities by estimating the potential impact of projects
Triage problems with our product using data about user behavior
Qualifications
5+ Years Experience Making Sense of Data: You can manipulate and analyze datasets.
Experience using quantitative tools like Excel, SQL, R, or similar stats packages
Experience with A/B Testing and experimental design
Problem Solving - you find creative ways to arrive at usable solutions, even when roadblocks arise and even when problems are ambiguously defined
You know when to simplify and when adding complexity is appropriate
Good Communication - you can explain complex concepts in a simple, understandable way
You can translate numbers into words, and words into decisions
You have a degree in a quantitative field or relevant work experience
Bonus Points:
Programming experience in any language (Java, C, Python, Ruby, etc.)
Familiarity with data system architectures, database design, query optimization, or streaming data tools
Machine Learning
Candidates must be able to meet customer security screening requirements as indicated for this role. Customer screening requirements may include additional items such as, but not limited to: Specialized agency background checks (either national or local) and fingerprinting. All employees hired into roles supporting Cloud Offerings will also be required to pass Microsoft background checks prior to the start of employment and every two years thereafter.

Microsoft will consider qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco＊s Fair Chance Ordinance. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request to askstaff@microsoft.com.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances. #YammRef"
"1861","Staff Data Scientist","walmart","Position Description

A Staff Data Scientist is responsible for analyzing large data sets to develop multiple custom models and algorithms to drive innovative business solutions. Staff Data Scientists work on large project teams in order to provide analytical support and guidance to an assigned area on for large projects (for example, email targeting, business optimization, consumer recommendations) within Walmart eCommerce. Staff Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics. Those algorithms will be tested, validated, and applied to large data sets. Staff Data Scientists are responsible for training the algorithms so they can be applied to future data sets and provide the appropriate search results. Staff Data Scientists are responsible for researching new trends in the industry and utilizing up-to-date technology (for example, HBase, MapReduce, LAPack, Gurobi) and analytical skills to support their assigned project. Staff Data Scientists are the subject matter experts for statistical analysis and modeling for their project team.
Build complex data sets from multiple data sources, both internally and externally.
Build learning systems to analyze and filter continuous data flows and offline data analysis.
Collaborate with cross-functional partners across the business.
Collaborate with project teams to implement data modeling solutions.
Combine data features to determine search models.
Conduct advanced statistical analysis to determine trends and significant data relationships.
Develop models of current state in order to determine improvements needed.
Develop multiple custom data models to drive innovative business solutions.
Drives the execution of multiple business plans and projects
Ensures business needs are being met
Interpret data to identify trends to go across future data sets.
Promotes and supports company policies, procedures, mission, values, and standards of ethics and integrity
Provides supervision and development opportunities for associates
Research new techniques and best practices within the industry.
Scale new algorithms to large data sets.
Train algorithms to apply models to new data sets.
Translate business needs into data requirements.
Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).
Validate models and algorithmic techniques.

Minimum Qualifications
Please add text
Additional Preferred Qualifications
Please add text
Company Summary
The Walmart eCommerce team is rapidly innovating to evolve and define the future state of shopping. As the world＊s largest retailer, we are on a mission to help people save money and live better. With the help of some of the brightest minds in technology, merchandising, marketing, supply chain, talent and more, we are reimagining the intersection of digital and physical shopping to help achieve that mission.
Position Summary
You will be part of the Walmart Personalization &amp; AI group supporting the Walmart International markets.

We work closely with our business partners, product, UI/UX teams and engineerings teams to deliver solutions and experiences that delight our customers. Our mission is to infuse with personalization and AI every single customer touchpoint.

We are more than a data science or a technology team. We are equal partners in every step of the process defining and shaping the experiences our customers use every day.

We are a small but very agile team building multi tenant personalization and data science solutions and then adapt them for each individual market.

You will help us rethink and shape the future of online groceries, fashion, house furnishing and meal planning using AI.

For fashion and house furnishing, you will use image recognition and neural style transfer to dynamically create outfits for international customers.

For online groceries we want to talk personally to each customer, understand them and help them complete their shopping journey as quickly as possible. One of the ways of accomplishing this is by using in session personalization using RNNs.

Finally, with meal planning we plan to Inspire our customers and make the shopping journey fun again!

And accomplish the above across all channels including voice!"
"1862","Senior Data Scientist","amazon.com","Job Description
Amazon Music

Imagine being a part of an agile team where your ideas have the potential to reach millions. Picture working on cutting-edge consumer-facing products, where every single team member is a critical voice in the decision-making process. Envision being able to leverage the resources of a Fortune-500 company within the atmosphere of a start-up. Welcome to Amazon Music, where ideas are born and come to life as Amazon Music Unlimited, Prime Music, and so much more.

As a Senior Data Scientist in Music, you'll discover insights that drive marketing, content and product strategy for our Amazon Music streaming service. You will have the opportunity to work with a huge and rapidly growing data set generated by mobile, desktop and home music streaming application usage interactions and music consumption behaviors.

Come innovate with the Amazon Music team!

As a successful data scientist at Amazon Music, you need to understand the streaming music industry and the meanings of data across Marketing, Product, Finance, Curation and Content. You will expose and measure current performance in marketing acquisition and product engagement. You will identify specific and actionable opportunities to solve existing business problems at Amazon Music, and collaborate with engineering, research, and business teams for future innovation. You need to be a sophisticated user of advanced quantitative techniques for answering specific business questions, and an expert at synthesizing and communicating insights and recommendations to audiences of varying levels of technical sophistication.

Major responsibilities include:

Translate / Interpret
Complex and interrelated datasets describing customer behavior, messaging, content, product design and financial impact.
Measure / Quantify / Expand
Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.
Analyze historical data to identify trends and support decision making.
Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters.
Provide requirements to develop analytic capabilities, platforms, and pipelines.
Apply statistical or machine learning knowledge to specific business problems and data.
Explore / Enlighten
Formalize assumptions about how users are expected to behave, create statistical definition of the outlier, and develop methods to systematically identify these outliers. Work out why such examples are outliers and define if any actions needed.
Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes.
Make Decisions and Recommendations
Build decision-making models and propose solution for the business problem you defined
Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.
Utilize code (Python/R/SQL) for data analyzing and modeling algorithms
Basic Qualifications
Bachelor＊s Degree in Statistics, Applied Mathematics, Operation Research, Economics or a related quantitative field.
5+ years of experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, Weka, SAS, Matlab)
Experience articulating business questions and using quantitative techniques to arrive at a solution using available data
Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment
Depth and breadth in quantitative knowledge. Excellent quantitative modeling, statistical analysis skills and problem-solving skills. Sophisticated user of statistical tools.
Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of data
Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer＊s organization
Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences
Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations
Preferred Qualifications
Masters Degree in Statistics, Applied Mathematics, Operation Research, Economics or a related quantitative field.
Experience in music industry
Experience in analyzing user behavior in a subscription business model

Amazon.com is an Equal Opportunity-Affirmative Action Employer 每 Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
"1863","Siri - EPM -Machine Learning & Data Science Search","apple","The Siri Search team is creating groundbreaking technology for knowledge graphing and algorithmic search using machine learning, natural language processing, and artificial intelligence.
We are looking for an experienced project/product manager to lead projects in search relevance, query understanding, and machine learning. As part of the Siri Search Relevance and Machine Learning PM group, you will build and apply cutting edge machine learning and data science technologies to solve the cutting edge challenges we face in improving the search experiences for our over 1 billion customers. You will be part of a fast moving, innovative team where your expertise to drive the machine learning projects could be a lot more impactful to the future of machine learning for Search at Apple.

Key Qualifications
5+ years of engineering, PM, or research experience working on machine learning projects.
Strong analytical skills and a curiosity to peel the onion to discover opportunities for impact and better user experience.
Keen interest in connecting ML technologies with real world search challenges.
Foundational understanding of modern machine learning development techniques.
Demonstrated experience in building and maintaining large scale machine learning systems.
Ability to influence teams to adopt best practices in delivering various effective machine learning models.
Capability to work across a large number of teams to enforce process and efficient outcomes in a data-driven environment.
Self-motivated and proactive, with demonstrated creative and critical thinking capabilities required to forge a path to success.
Description
Lead the roadmap for search relevance continuous improvement and keep the team focused on critical path.
Communicate project status clearly to leadership and exec team.
Drive search relevance teams to build and enhance state of the art models.
Analyze user quality metrics, propose improvement actions, design and deploy successful A/B experiments.
Lead machine learning best practices in Siri team.
Collaborate with other Apple teams to promote cross-team technology sharing.

Education
MS or PhD in Computer Science, Mathematics, Statistics, Physics or related engineering degrees with focus in machine learning, data mining or statistics."
"1864","Lead Data Engineer - A/B Testing/Measurement Platform","target","Description:
JOIN US AS A LEAD DATA ENGINEER 每 A/B TESTING AND OPTIMIZATION

The Data Science and Engineering team at Target in Sunnyvale is a hyper-growing, dynamic and collaborative team of engineers. The Lead Data Engineer at Target work closely with our Data Scientists to build large scale data pipelines utilizing Java, Spark, Scala, Kafka, etc. for numerous enterprise data product/services.
About this Opportunity
As a Lead Data Engineer, you＊ll have the opportunity to build robust data pipelines, using Agile practices and DevOps principles. Responsibilities will include designing, programming, debugging and supporting high quality, distributed, and large-scale software solutions on the latest Big Data tech stack. Specifically, you＊ll be designing and scaling the data engineering efforts for a global A/B Testing and Optimization platform utilized by Target.com 每 Web Adaptive and Mobile development end-users.
We are looking for a highly motivated engineering professional who is a team player and can engage with both technical and business team members while mentoring/developing Sr Data Engineers on our team.
Key Responsibilities:
Develop software systems using test driven development employing CI/CD practices
Partner with other engineers and team members to develop software that meets business needs
Follow Agile methodology for software development and technical documentation
Innovate constantly and stay current with latest Big Data technologies while staying focused on solving large scale and challenging problems in retail and ecommerce.
Requirements
BS degree in Computer Science or relevant experience
5+ years＊ experience in developing software applications
3+ years＊ experience working on Big Data technologies like Hadoop, Spark, Scala and Hive
Extensive understanding of application/software development and design
Proficiency in at-least one of the following languages: Java, Scala, Python
Hands on experience and knowledge of Kafka streaming solutions
Worked on building and supporting Web Services
Experience with REST APIs＊ and services preferred
Qualifications:"
